Day,State
0,Low
19,Moderate
38,Moderate
57,Moderate
76,Moderate
95,High
114,Moderate
133,High
152,Moderate
171,Moderate
190,High
209,Moderate
228,High
247,Moderate
266,Moderate
285,High
304,Moderate
323,Moderate
342,Moderate
361,High
380,High
399,High
418,Moderate
437,High
456,High
475,High
494,Moderate
513,High
532,High
551,Moderate
570,Moderate
589,Low
608,Low
627,Low
646,Moderate
665,Moderate
684,Moderate
703,Moderate
722,High
741,High
760,High
779,Moderate
798,High
817,High
836,Moderate
855,High
874,Low
893,Low
912,Low
931,Moderate
950,Moderate
969,High
988,Moderate
1007,Moderate
1026,High
1045,Moderate
1064,High
1083,High
1102,High
1121,High
1140,High
1159,Low
1178,Low
1197,Moderate
1216,Moderate
1235,Moderate
1254,High
1273,Moderate
1292,Moderate
1311,Moderate
1330,Moderate
1349,Moderate
1368,Moderate
1387,Moderate
1406,Moderate
1425,High
1444,Moderate
1463,Moderate
1482,Moderate
1501,Moderate
1520,Moderate
1539,High
1558,Moderate
1577,Moderate
1596,Moderate
1615,Moderate
1634,Moderate
1653,Moderate
1672,Moderate
1691,Moderate
1710,Moderate
1729,Low
1748,Low
1767,Moderate
1786,Moderate
1805,High
1824,High
1843,High
1862,High
1881,High
1900,High
1919,Moderate
1938,High
1957,High
1976,High
1995,High
2014,High
2033,Low
2052,Moderate
2071,Moderate
2090,High
2109,High
2128,High
2147,High
2166,High
2185,High
2204,High
2223,Moderate
2242,High
2261,High
2280,High
2299,High
2318,Moderate
2337,Moderate
2356,Moderate
2375,Moderate
2394,Moderate
2413,High
2432,High
2451,Moderate
2470,Moderate
2489,Moderate
2508,Moderate
2527,Moderate
2546,Moderate
2565,Moderate
2584,Moderate
2603,Moderate
2622,Moderate
2641,High
2660,High
2679,High
2698,High
2717,High
2736,High
2755,High
2774,High
2793,High
2812,High
2831,High
2850,High
2869,High
2888,Moderate
2907,Moderate
2926,Moderate
2945,Moderate
2964,Moderate
2983,High
3002,High
3021,High
3040,Moderate
3059,High
3078,Moderate
3097,High
3116,High
3135,High
3154,High
3173,Moderate
3192,Moderate
3211,Moderate
3230,Moderate
3249,High
3268,High
3287,High
3306,High
3325,High
3344,High
3363,Moderate
3382,High
3401,High
3420,Moderate
3439,High
3458,Moderate
3477,Low
3496,Low
3515,Moderate
3534,High
3553,Moderate
3572,Moderate
3591,Moderate
3610,High
3629,Moderate
3648,Moderate
3667,High
3686,High
3705,Moderate
3724,High
3743,High
3762,Moderate
3781,Moderate
3800,Moderate
3819,High
3838,Moderate
3857,Moderate
3876,High
3895,High
3914,Moderate
3933,High
3952,Moderate
3971,Moderate
3990,High
4009,High
4028,Moderate
4047,Low
4066,Moderate
4085,Moderate
4104,Moderate
4123,Moderate
4142,Moderate
4161,Moderate
4180,Moderate
4199,Moderate
4218,Moderate
4237,Moderate
4256,Moderate
4275,Moderate
4294,Moderate
4313,Moderate
4332,Moderate
4351,Moderate
4370,Moderate
4389,High
4408,High
4427,High
4446,High
4465,High
4484,High
4503,High
4522,High
4541,High
4560,High
4579,High
4598,High
4617,Moderate
4636,Moderate
4655,Moderate
4674,High
4693,High
4712,High
4731,High
4750,High
4769,High
4788,High
4807,High
4826,High
4845,High
4864,High
4883,High
4902,Moderate
4921,Moderate
4940,High
4959,Moderate
4978,Moderate
4997,High
5016,High
5035,High
5054,High
5073,Moderate
5092,Moderate
5111,High
5130,Moderate
5149,Moderate
5168,Moderate
5187,Low
5206,Low
5225,Moderate
5244,High
5263,Moderate
5282,Moderate
5301,High
5320,Moderate
5339,Moderate
5358,Moderate
5377,Moderate
5396,Moderate
5415,Moderate
5434,Moderate
5453,Moderate
5472,High
5491,Moderate
5510,Moderate
5529,Moderate
5548,Moderate
5567,Moderate
5586,Moderate
5605,Moderate
5624,Moderate
5643,Moderate
5662,Moderate
5681,High
5700,High
5719,Moderate
5738,Moderate
5757,Moderate
5776,Low
5795,Moderate
5814,Moderate
5833,Moderate
5852,Moderate
5871,Moderate
5890,High
5909,Moderate
5928,High
5947,Moderate
5966,High
5985,High
6004,High
6023,High
6042,Moderate
6061,Moderate
6080,Moderate
6099,Moderate
6118,Moderate
6137,High
6156,High
6175,High
6194,High
6213,High
6232,High
6251,High
6270,High
6289,High
6308,High
6327,High
6346,Low
6365,Moderate
6384,Moderate
6403,Moderate
6422,Moderate
6441,High
6460,Moderate
6479,Moderate
6498,Moderate
6517,Moderate
6536,Moderate
6555,Moderate
6574,High
6593,High
6612,Moderate
6631,Moderate
6650,Moderate
6669,High
6688,High
6707,High
6726,High
6745,High
6764,High
6783,High
6802,High
6821,High
6840,High
6859,High
6878,High
6897,High
6916,Moderate
6935,Moderate
6954,Moderate
6973,Moderate
6992,High
7011,High
7030,High
7049,High
7068,High
7087,High
7106,High
7125,High
7144,High
7163,Moderate
7182,Moderate
7201,Low
7220,Low
7239,Moderate
7258,Moderate
7277,High
7296,High
7315,High
7334,Moderate
7353,High
7372,Moderate
7391,High
7410,High
7429,Moderate
7448,High
7467,Moderate
7486,High
7505,Moderate
7524,Moderate
7543,Moderate
7562,High
7581,High
7600,High
7619,High
7638,High
7657,High
7676,High
7695,Moderate
7714,High
7733,High
7752,High
7771,High
7790,High
7809,High
7828,High
7847,High
7866,High
7885,High
7904,High
7923,High
7942,High
7961,High
7980,High
7999,High
8018,High
8037,High
8056,High
8075,Low
8094,Moderate
8113,Moderate
8132,High
8151,High
8170,High
8189,High
8208,High
8227,High
8246,High
8265,High
8284,High
8303,Moderate
8322,High
8341,High
8360,Moderate
8379,Moderate
8398,High
8417,High
8436,High
8455,High
8474,High
8493,High
8512,High
8531,High
8550,High
8569,High
8588,High
8607,High
8626,High
8645,Moderate
8664,Moderate
8683,Low
8702,Moderate
8721,Moderate
8740,High
8759,High
8778,High
8797,High
8816,High
8835,High
8854,High
8873,High
8892,High
8911,High
8930,Low
8949,Low
8968,Moderate
8987,Moderate
9006,Moderate
9025,Moderate
9044,High
9063,High
9082,Moderate
9101,Moderate
9120,Moderate
9139,Moderate
9158,High
9177,High
9196,High
9215,High
9234,Low
9253,Low
9272,Moderate
9291,Moderate
9310,Moderate
9329,High
9348,Moderate
9367,Moderate
9386,Moderate
9405,High
9424,High
9443,Moderate
9462,High
9481,Moderate
9500,Moderate
